Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Boise, ID",01/01/2020,46.1,37.1,40.9,29.7,,0.2,,13.9,31.1,9.8,64.9,78.89,"Rain, Partially cloudy"
"Boise, ID",01/02/2020,44.1,33.2,38.8,31.3,,0,,13.8,12.8,9.9,63,69.08,Partially cloudy
"Boise, ID",01/03/2020,48.8,34,40.8,29,,0,,19.5,16.1,9.9,3.7,63.65,Clear
"Boise, ID",01/04/2020,45,30.8,39.9,25.9,,0,,19.5,33.5,9.9,25.7,53.83,Partially cloudy
"Boise, ID",01/05/2020,38,29.9,33.8,24.9,,0.05,,11.3,,8.8,63.2,76.31,"Rain, Partially cloudy"
"Boise, ID",01/06/2020,39.8,29.1,34.7,23,,0.02,,12.7,,9.7,76.7,80.71,"Rain, Overcast"
"Boise, ID",01/07/2020,51.2,35.9,41.7,28,,0,,14.8,24.2,9.9,22.4,65.64,Clear
"Boise, ID",01/08/2020,45,32,38.5,30.2,,0.08,,17.2,28.9,9.3,75.7,71.22,"Rain, Overcast"
"Boise, ID",01/09/2020,37.2,29.1,32.9,22.4,,0.11,,20.6,31.3,8.9,71.7,77.84,"Rain, Partially cloudy"
"Boise, ID",01/10/2020,37.1,23,31.1,13.9,,0,,19.6,30,9.9,75.3,64.45,Overcast
"Boise, ID",01/11/2020,38.1,32,35,22,,0.15,,16.1,21.7,8.8,87.2,79.49,"Rain, Overcast"
"Boise, ID",01/12/2020,38.1,30.9,33.4,21.2,,0.17,,21.8,34.4,7.3,78.7,81.35,"Rain, Overcast"
"Boise, ID",01/13/2020,36,30,32.5,19,,0.08,,17.2,27.7,8.6,77.7,68.1,"Rain, Overcast"
"Boise, ID",01/14/2020,38,20.1,29.2,12.6,,0.07,,13.8,29.8,9.3,53.2,80.71,"Rain, Partially cloudy"
"Boise, ID",01/15/2020,35.9,16.1,28.4,7.4,,0,,20.7,31.1,9.9,57.7,64.46,Partially cloudy
"Boise, ID",01/16/2020,47.9,34,39.8,24.6,,0,,20.7,30.7,9.9,28.4,54.38,Partially cloudy
"Boise, ID",01/17/2020,39.9,30.8,34.2,19.8,,0,,15.9,29.8,9.9,48.4,58.6,Partially cloudy
"Boise, ID",01/18/2020,42.2,30.7,35.6,21.5,,0,,13.7,20.8,9.9,77.2,57.38,Overcast
"Boise, ID",01/19/2020,41,25.1,32.4,19.3,,0,,17.1,25.3,9.9,0,68.42,Clear
"Boise, ID",01/20/2020,39.9,29.1,33.9,22.1,,0,,10.3,,9.9,42,70.16,Partially cloudy
"Boise, ID",01/21/2020,47.1,34,39.5,29.3,,0.03,,17,23,9,70.5,71.2,"Rain, Partially cloudy"
"Boise, ID",01/22/2020,46.1,28.1,36.9,20.9,,0,,11.3,,8.8,60.7,77.76,Partially cloudy
"Boise, ID",01/23/2020,52.1,38,42.3,34,,0,,9.1,,9.6,60.1,78.55,Partially cloudy
"Boise, ID",01/24/2020,48.8,38.9,42,31.8,,0.19,,14.9,15,8.5,71.4,85.96,"Rain, Partially cloudy"
"Boise, ID",01/25/2020,44.1,33.2,39.6,28.7,,0.03,,10.2,,6.7,89,87.36,"Rain, Overcast"
"Boise, ID",01/26/2020,46,38,41.4,33.2,,0.76,,14.8,13.9,6.5,82.5,89.38,"Rain, Overcast"
"Boise, ID",01/27/2020,48,33.1,41,27.8,,0,,12.7,,9,71.2,74.52,Partially cloudy
"Boise, ID",01/28/2020,46.9,36,41.1,31.8,,0.19,,13.7,23,9.8,72.8,80.78,"Rain, Partially cloudy"
"Boise, ID",01/29/2020,46.1,31.9,39.2,28.9,,0.06,,6.9,,6.4,62.2,80.55,"Rain, Partially cloudy"
"Boise, ID",01/30/2020,43,34.1,36.9,26.7,,0.12,,14.9,,8.5,65.2,87.57,"Rain, Partially cloudy"
"Boise, ID",01/31/2020,50,36,42.8,27.6,,0,,14.9,13.9,9.9,61.6,69.56,Partially cloudy
"Boise, ID",02/01/2020,52.1,34.1,44.3,28.9,,0,,14.8,23,9.9,2,66.54,Clear
"Boise, ID",02/02/2020,37.2,28.1,32.8,15.1,,0.02,,21.7,30.7,8.6,60.4,76.5,"Rain, Partially cloudy"
"Boise, ID",02/03/2020,37.2,25.1,30,12,,0,,25.3,36.6,9.9,4.5,46.39,Clear
"Boise, ID",02/04/2020,35.1,18,28,9.9,,0,,17.1,20.8,9.9,23.8,56.71,Clear
"Boise, ID",02/05/2020,34.1,29,31.5,22.9,,0.39,,5.8,,2.7,83.7,87.16,"Rain, Overcast"
